Germany	88.20	162.19	217.12
Austria	4.71	8.67	11.61
Belgium	4.32	7.95	10.64
Denmark	10.02	18.42	24.66
Spain	45.18	83.08	111.22
Estonia	0.59	1.08	1.45
Finland	1.96	3.61	4.84
France	20.43	37.57	50.29
Greece	4.32	7.95	10.64
Hungary	0.59	1.08	1.45
Ireland	4.91	9.03	12.09
Iceland	0.02	0.04	0.05
Italy	7.86	14.45	19.34
Latvia	0.13	0.25	0.33
Luxembourg	0.11	0.21	0.28
Norway	1.71	3.15	4.22
Netherlands	6.68	12.28	16.44
Poland	10.02	18.42	24.66
Portugal	10.02	18.42	24.66
Slovakia	0.02	0.04	0.05
Slovenia	0.02	0.04	0.05
Sweden	11.79	21.67	29.01
Switzerland	0.12	0.22	0.29
Kingdom	26.72	49.13	65.76
Czech	0.59	1.08	1.45
Turkey	11.95	21.97	29.41
