Austria	5800	5000	6650	12194	10670	14192
Belgium	6300	4850	7800	17976	13750	22517
Bulgaria	1220	1000	1440	2565	2134	3073
Croatia	1800	1600	2000	3784	3415	4268
Cyprus	483	447	581	1016	953	1240
Czech	2200	1040	4320	4625	2219	9219
Denmark	8130	5950	11320	22659	16792	32378
Estonia	1183	365	2000	3669	779	6586
Finland	8526	5026	12026	17966	10766	25705
France	35250	25000	43000	88301	62623	114942
Germany	80000	75000	87500	195786	183232	221497
Greece	9000	8000	12500	18922	17073	27448
Hungary	973	925	1051	2045	1975	2244
Ireland	7692	5525	9590	17433	11829	22320
Italy	13600	10768	17268	28593	22980	37624
Latvia	308	234	430	647	500	918
Lithuania	1110	878	2200	2334	1874	6240
Luxembourg	141	123	169	296	263	362
Malta	49	30	80	102	64	171
Netherlands	12567	11872	13391	36670	34606	39394
Poland	13150	8400	15700	29775	18699	36904
Portugal	6400	5951	7039	13498	12742	15063
Romania	5000	4500	6000	10512	9603	12804
Slovakia	331	300	486	696	640	1036
Slovenia	49	33	75	103	71	159
Spain	44505	35005	52500	93575	74711	112811
Sweden	14300	8802	20000	31641	19096	45772
Kingdom	40000	24300	55000	120362	70399	171453
