"Time","Temp","WindDir","WindSpeed"
"Sun Jan 01 01:00:00 CET 2012","12.0","SW","5.0"
"Sun Jan 01 04:00:00 CET 2012","11.0","SSW","5.0"
"Sun Jan 01 10:00:00 CET 2012","12.0","SW","5.0"
"Sun Jan 01 13:00:00 CET 2012","12.0","SW","4.0"
"Sun Jan 01 16:00:00 CET 2012","13.0","SSW","5.0"
"Sun Jan 01 19:00:00 CET 2012","13.0","South","6.0"
"Sun Jan 01 22:00:00 CET 2012","13.0","SSW","8.0"
"Mon Jan 02 01:00:00 CET 2012","10.0","SW","5.0"
"Mon Jan 02 04:00:00 CET 2012","10.0","WSW","5.0"
"Mon Jan 02 10:00:00 CET 2012","7.0","SW","4.0"
"Mon Jan 02 13:00:00 CET 2012","9.0","SW","4.0"
"Mon Jan 02 16:00:00 CET 2012","8.0","WSW","6.0"
"Mon Jan 02 22:00:00 CET 2012","6.0","SW","5.0"
"Tue Jan 03 01:00:00 CET 2012","6.0","SSW","6.0"
"Tue Jan 03 04:00:00 CET 2012","6.0","SSW","6.0"
"Tue Jan 03 07:00:00 CET 2012","7.0","SSW","7.0"
"Tue Jan 03 10:00:00 CET 2012","9.0","SSW","11.0"
"Tue Jan 03 13:00:00 CET 2012","10.0","SSW","9.0"
"Tue Jan 03 16:00:00 CET 2012","11.0","SW","10.0"
"Tue Jan 03 22:00:00 CET 2012","8.0","WSW","5.0"
"Wed Jan 04 01:00:00 CET 2012","6.0","WSW","7.0"
"Wed Jan 04 04:00:00 CET 2012","8.0","West","8.0"
"Wed Jan 04 07:00:00 CET 2012","7.0","WNW","8.0"
"Wed Jan 04 10:00:00 CET 2012","7.0","West","6.0"
"Wed Jan 04 13:00:00 CET 2012","8.0","WSW","7.0"
"Wed Jan 04 16:00:00 CET 2012","8.0","WSW","6.0"
"Wed Jan 04 19:00:00 CET 2012","8.0","SW","6.0"
"Wed Jan 04 22:00:00 CET 2012","8.0","SW","9.0"
"Thu Jan 05 01:00:00 CET 2012","9.0","WSW","11.0"
"Thu Jan 05 07:00:00 CET 2012","10.0","WSW","10.0"
"Thu Jan 05 10:00:00 CET 2012","9.0","WNW","10.0"
"Thu Jan 05 13:00:00 CET 2012","9.0","WNW","12.0"
"Thu Jan 05 19:00:00 CET 2012","7.0","NW","9.0"
"Thu Jan 05 22:00:00 CET 2012","6.0","NW","8.0"
"Fri Jan 06 01:00:00 CET 2012","7.0","NW","10.0"
