"City","Country","Station","Lat","Lon","Elev"
"Koksijde","BX","EBFN","51.08","2.65","9.0"
"Ostende","BX","EBOS","51.2","2.87","5.0"
"Semmerzake","BX","EBMT","50.93","3.73","60.0"
"Ghent","BX","EBGT","51.18","3.82","10.0"
"Chievres","BX","EBCV","50.57","3.83","63.0"
"Charleroi","BX","EBCI","50.47","4.45","192.0"
"Antwerp","BX","EBAW","51.2","4.47","14.0"
"Brussels","BX","EBBR","50.9","4.53","58.0"
"Brasschaat","BX","EBBT","51.33","4.5","23.0"
"Florennes","BX","EBFS","50.23","4.65","299.0"
"Beauvechain","BX","EBBE","50.75","4.77","127.0"
"Schaffen","BX","EBDT","51.0","5.07","54.0"
"St. Hubert","BX","EBSU","50.03","5.4","557.0"
"Bierset","BX","EBLG","50.65","5.45","178.0"
"Kleine Brogel","BX","EBBL","51.17","5.47","64.0"
"Genk","BX","EBZW","50.93","5.5","61.0"
"Spa","BX","EBSP","50.48","5.92","470.0"
"Elsenborn","BX","EBLB","50.47","6.18","570.0"
